Product Name,Category,Brand,Quantity,Threshold
Bursting boba Passion Fruit ,Boba,Bossen,0,0
Bursting boba Stramberry ,Boba,Bossen,0,0
Bursting boba  Lychee ,Boba,Bossen,0,0
Bursting Boba Bluberry ,Boba,Bossen,0,0
Black Boba,Boba,Bossen,0,0
Monogran Bleach ,Cleaning,Monogran,0,0
Liqu - A - Klor - Yellow Sanitazier ,Cleaning,Diversey,0,0
Dawn detergent ,Cleaning,Dawn,0,0
Cafiza,Cleaning,Urnex,0,0
Trash Bags,Cleaning,Grainger,0,0
Gloves,Cleaning,Monogran,0,0
Crash (Drip Coffee Grounds),Coffee,Rhino ,0,0
Guatamalen (Cold Brew Gounds),Coffee,Rhino ,0,0
Ceros (Whole Beans),Coffee,Rhino ,0,0
Apple Cinnamon Muffins,Food,Chef Line,0,0
Double Chocolate Muffins,Food,Chef Line,0,0
Blueberry Muffins,Food,Chef Line,0,0
Banana Nut Muffins,Food,Chef Line,0,0
M&M Cookies,Food,Chef Line,0,0
Chocolate Chip Cookies,Food,Chef Line,0,0
Grilled Chicken ,Food,Chef Line,0,0
Croissants ,Food,Chef Line,0,0
Ciabatta Bread ,Food,Chef Line,0,0
Leaf Lettuce ,Food,Queen Victoria,0,0
Romaine Lettuce ,Food,Queen Victoria,0,0
Tomates,Food,Walmart,0,0
Pickles,Food,Monarch,0,0
Swiss Cheese,Food,Glenview,0,0
Bacon Egg Cheese Breakfast Sandwich,Food,Jimmy Dean ,0,0
Pancake Sausgae Egg Cheese Sandwich,Food,Jimmy Dean ,0,0
Turkey Egg White and Cheese Sandwich,Food,Jimmy Dean ,0,0
Pepperoni,Food,Roseli,0,0
Italian Dressing ,Food,Kraft,0,0
Mayo(pack),Food,Heinz,0,0
Croutons,Food,Monarch,0,0
Garlic Aoli,Food,Monarch,0,0
Black Beans,Food,Monarch,0,0
Frozen Corn ,Food,Monarch,0,0
Chickpea,Food,Progresso,0,0
Black Olives,Food,Walmart,0,0
Shaved Parmesan Cheese,Food,Roseli,0,0
Shredded Parmesan Cheese,Food,Roseli,0,0
Parmesan Cheese Packets ,Food,Roseli,0,0
Syrup Cups,Food,Smuckers,0,0
Crackers,Food,Lance,0,0
Assorted Chips,Food,Frito Lay,0,0
Baked Bbq Chips,Food,Frito Lay,0,0
French Vanilla Creamer,Cream,Nestle ,0,0
Dairy Free Creamer,Cream,Nestle ,0,0
Hazelnut Creamer,Cream,Nestle ,0,0
Grapes,Food,Walmart,0,0
Strawberries,Food,Walmart,0,0
Cantalope,Food,Walmart,0,0
Bluberries ,Food,Walmart,0,0
Pineapple,Food,Walmart,0,0
Honey,Food,Monarch,0,0
Danish Assorted,Food,Chef Line,0,0
Caesar Dressing ,Food,Kens,0,0
Turkey ,Food,Hormel,0,0
Ham ,Food,Smithfiled,0,0
Pancake Waffle Syroup,Food,Monarch,0,0
Real Mayo,Food,Kraft,0,0
Honey Mustard ,Food,Kens,0,0
Ranch,Food,Kens,0,0
Milk,Liquid,Glenview Farms,0,0
Whipped Cream,Liquid,Glenview Farms,0,0
Apple juice ,Liquid,Ocean Spray,0,0
Almond milk ,Liquid,Thirster,0,0
Coconut Milk,Liquid,Pacific,0,0
Strawberry Smoothie Base,Liquid,Dr.Smoothie,0,0
Blueberry Banana Smoothie Base,Liquid,Dr.Smoothie,0,0
Mango Smoothie Base,Liquid,Dr.Smoothie,0,0
Peach Pear Apricot Smoothie Base,Liquid,Dr.Smoothie,0,0
Tropical Sunshine Smoothie Base,Liquid,Dr.Smoothie,0,0
Strawberry Acai Refresher Base,Liquid,Dr.Smoothie,0,0
Watermelon Cumcumber Mint Refresher Base,Liquid,Dr.Smoothie,0,0
Wildberry Hibiscus Refresher Base,Liquid,Dr.Smoothie,0,0
Non-Dairy Creamer,Powder,Monarch,0,0
Whey-Protein Powder,Powder,Lyons,0,0
Caramel Powder,Powder,Mocafe,0,0
Artic Mocha Powder,Powder,Mocafe,0,0
Mexican Chocolate Powder,Powder,Mocafe,0,0
Charcoal Mocha Powder,Powder,Mocafe,0,0
Latte Powder,Powder,Mocafe,0,0
Redvelt Powder ,Powder,Cappuccine,0,0
Vanilla Powder,Powder,Cappuccine,0,0
Java Chip Powder,Powder,Dr.Smoothie,0,0
Cookies & Cream Powder,Powder,Dr.Smoothie,0,0
Matcha Mint Chip Powder,Powder,Dr.Smoothie,0,0
Chai Powder,Powder,Mocafe,0,0
Strawberry Powder,Powder,Bossen,0,0
Mango Powder,Powder,Bossen,0,0
Pineapple Powder,Powder,Bossen,0,0
Taro Powder,Powder,Bossen,0,0
Milk Tea Powder,Powder,Bossen,0,0
Thai Tea Powder,Powder,Bossen,0,0
Red Bean Powder ,Powder,Bossen,0,0
Matcha Powder,Powder,Mocafe,0,0
Honeydew,Powder,Bossen,0,0
Coconut,Powder,Bossen,0,0
Golden Cane sugar ,Syrup,Bossen,0,0
Stramberry Fruit Pure,Syrup,Monin,0,0
Banana Fruit Pure ,Syrup,Monin,0,0
Vanilla Syrup,Syrup,DaVinci,0,0
Hazelnut Syrup,Syrup,Monin,0,0
Almond Syrup,Syrup,Monin,0,0
